name,phone,car_brand,car_model,car_age_years,km_driven,last_service_months,issue_text,service_category,priority_level,estimated_hours
Jason Stone,(902)565-1742,Kia,Seltos,10,41972,15,battery dies quickly. Detail those indicate table.,General Check,High,3.4
John Williams,684-331-7193x368,Honda,City,10,46887,34,vibration while accelerating. Close fact message guy information pick key.,Engine,High,8.9
Timothy Morris,832.311.1986x146,Mahindra,Thar,10,28168,20,aircon not cooling,Engine,Low,7.2
Nichole Moon,6897724681,Kia,Sonet,2,64182,18,battery dies quickly. Finish front different choice whose.,Electrical,High,2.2
Johnny Ward,635.333.7075,BMW,5-Series,7,36336,35,aircon not cooling. Hotel between around.,AC,Medium,5.3
Christopher Patterson,+1-819-650-2660x1098,BMW,5-Series,1,32631,13,aircon not cooling. Ball benefit why.,AC,Low,2.7
James Watson,+1-623-319-1807x57622,Maruti,Baleno,1,108077,21,brakes making noise. Mention paper now military.,Brakes,Low,4.4
Cynthia Mccoy,(203)900-3111,Hyundai,i20,3,67678,32,brakes making noise. Hope see dinner sort as middle crime.,Brakes,Medium,3.4
Elizabeth Ellis,275-664-4706x11962,Toyota,Camry,15,58916,17,vibration while accelerating,General Check,High,2.5
Lauren Burgess,624.605.1430x0983,BMW,3-Series,15,62345,25,aircon not cooling,Engine,Medium,4.9
Scott Reed,469.541.5373,Hyundai,i20,6,31017,13,tyre puncture frequently. Low fund try again year window price.,Tire,Low,0.7
Maria Mcintosh,(814)539-9530,Toyota,Camry,15,38537,31,engine oil leak,Oil Change,Medium,1.3
Melissa Gray,(202)656-1631x509,Toyota,Camry,3,62454,23,brakes making noise. Evening dog receive hot art figure.,Brakes,Low,3.7
Alexander Owens,226.282.8794,Toyota,Corolla,9,63854,13,engine oil leak,Oil Change,Low,2.3
Laura Norton,203-924-4468x167,Hyundai,Creta,3,46234,11,engine oil leak. Order past decade.,Oil Change,Low,1.4
Kathryn Smith,884-332-8741,Hyundai,Creta,9,6477,8,strange smell from cabin. Sea other fund act.,General Check,Low,2.8
Brandon Bryan,001-834-886-4846x5033,BMW,3-Series,5,63963,15,battery dies quickly,Electrical,High,2.2
Derek Arellano,+1-678-499-5217x07652,Maruti,Baleno,5,21766,7,strange smell from cabin,Brakes,Low,3.0
Larry Flores,827-466-5028x12826,BMW,5-Series,9,29251,18,aircon not cooling,Engine,Low,7.5
